Species,CodeNumber,Longtitude_convert,Latitude_convert,Museum,Museum
mitchellae,MO5787,153.05,-28.866667,QM,
mitchellae,MO66945,153.610833,-28.666111,QM,
novaehollandiae,MO66579,153.103889,-30.250833,QM,
sp1,MO32624,150.166667,-30.266667,QM,
richmondiana,MO55413,153.2,-28.216667,QM,
novaehollandiae,MO11925,152.6,-28.283333,QM,
richmondiana,MO24632,153.266667,-28.4,QM,
novaehollandiae,MO20427,152.733333,-30.366667,QM,
novaehollandiae,MO31911,151.316667,-32.183333,QM,
richmondiana,MO62738,153.183333,-27.916667,QM,
mitchellae,MO79057,153.2841292,-28.7985365,QM,
richmondiana,MO79643,153.120833,-28.191944,QM,
sp1,MO32876,150.15,-30.3,QM,
richmondiana,MO71819,153.183333,-27.916667,QM,
richmondiana,MO5934,153.216667,-27.933333,QM,
mitchellae,MO72991,153.3885705,-28.4563143,QM,
novaehollandiae,MO56098,152.688889,-31.095833,QM,
novaehollandiae,MO60007,152.463889,-32.3,QM,
richmondiana,MO79719,153.136944,-28.147778,QM,
mitchellae,MO66845,153.610833,-28.666111,QM,
mitchellae,MO66950,153.610833,-28.666111,QM,
novaehollandiae,MO64446,153.094444,-30.243611,QM,
novaehollandiae,MO19274,152.688889,-31.095833,QM,
richmondiana,MO19261,153.266667,-28.4,QM,
novaehollandiae,MO56389,152.4375,-32.323611,QM,
